window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
3180,0,6,0.006572976242750883,0.016004787757992744,3.6402084827423096,3.6402087211608887,7.161103680256974e-15,1.0437798891871353e-06,1.0437798891871353e-06
3181,0,6,0.008139176294207573,0.017456235364079475,4.050750255584717,4.050750255584717,7.142933129472475e-15,9.368025644107547e-07,9.368025644107547e-07
3182,0,6,0.007382932584732771,0.017837127670645714,3.8579776287078857,3.8579776287078857,7.50840158819134e-15,1.0084613677463494e-06,1.0084613677463494e-06
3183,0,6,0.006676064804196358,0.018193820491433144,3.6686437129974365,3.6686437129974365,6.3320672185165124e-15,9.738957942317938e-07,9.738957942317938e-07
3184,0,6,0.0068093896843492985,0.01809631660580635,3.705094814300537,3.705095052719116,6.717953829945417e-15,9.932633702192106e-07,9.932633702192106e-07
3185,0,6,0.005933389067649841,0.017984457314014435,3.458570957183838,3.458570718765259,6.6689051165852355e-15,1.060170802702487e-06,1.060170802702487e-06
3186,0,6,0.004898606333881617,0.016608528792858124,3.142544984817505,3.142544984817505,6.77090270651123e-15,1.1756743560908944e-06,1.1756743560908944e-06
3187,0,6,0.004491670988500118,0.014717803336679935,3.0091872215270996,3.0091872215270996,6.716169131525552e-15,1.2228040304762544e-06,1.2228040304762544e-06
3188,0,6,0.0032182508148252964,0.0125318868085742,2.547153949737549,2.547153949737549,6.39518430209764e-15,1.4096672202867921e-06,1.4096672202867921e-06
3189,0,6,0.004189508501440287,0.012507726438343525,2.9062087535858154,2.9062087535858154,5.9474922376064315e-15,1.1914762581000105e-06,1.1914762581000105e-06
3190,0,6,0.004574096295982599,0.012345493771135807,3.036672353744507,3.0366721153259277,5.991031848677671e-15,1.1444534493421088e-06,1.1444534493421088e-06
3191,0,6,0.005119149573147297,0.012944203801453114,3.212507486343384,3.212507486343384,5.89909616313211e-15,1.0734796660472057e-06,1.0734796660472057e-06
3192,0,6,0.005448950920253992,0.013286753557622433,3.314375400543213,3.314375400543213,5.839808515505519e-15,1.0352442814109963e-06,1.0352442814109963e-06
3193,0,6,0.0073255994357168674,0.016336489468812943,3.842968702316284,3.842968702316284,6.260379008542118e-15,9.24439916616393e-07,9.24439916616393e-07
3194,0,6,0.007708721794188023,0.018470045179128647,3.9421801567077637,3.9421799182891846,5.537673980802278e-15,8.475640242977533e-07,8.475640242977533e-07
3195,0,6,0.006834016181528568,0.01820245385169983,3.7117886543273926,3.7117886543273926,5.859031928243455e-15,9.259231887881469e-07,9.259231887881469e-07
3196,0,6,0.006243532989174128,0.017855588346719742,3.5478110313415527,3.5478110313415527,5.673698154768899e-15,9.532743661111454e-07,9.532743661111454e-07
3197,0,6,0.005249376408755779,0.017621716484427452,3.25311279296875,3.253112554550171,5.563966307001525e-15,1.0295285619577044e-06,1.0295285619577044e-06
3198,0,6,0.005307000130414963,0.016574101522564888,3.27091908454895,3.27091908454895,4.899383833069327e-15,9.6082919753826e-07,9.6082919753826e-07
3199,0,6,0.00440602283924818,0.014202198944985867,2.9803593158721924,2.9803593158721924,5.271082219115248e-15,1.0937712886516238e-06,1.0937712886516238e-06
3200,0,6,0.003562255296856165,0.012711054645478725,2.679833173751831,2.679833173751831,5.802718213294674e-15,1.2763014183292398e-06,1.2763014183292398e-06
3201,0,6,0.003053968073800206,0.011458530090749264,2.481289863586426,2.481289863586426,4.630051072764983e-15,1.231290752912173e-06,1.231290752912173e-06
3202,0,6,0.003997461404651403,0.013451659120619297,2.8388168811798096,2.8388168811798096,5.1822475211895855e-15,1.1385889138182392e-06,1.1385889138182392e-06
3203,0,6,0.004305900540202856,0.014102041721343994,2.9463019371032715,2.9463019371032715,5.044195550347238e-15,1.0823405318660662e-06,1.0823405318660662e-06
3204,0,6,0.004278451204299927,0.014734474942088127,2.9368958473205566,2.9368958473205566,4.915629924997665e-15,1.071880319614138e-06,1.071880319614138e-06
3205,0,6,0.006114985328167677,0.013818993233144283,3.5110979080200195,3.5110979080200195,5.352254657000049e-15,9.355579777547973e-07,9.355579777547973e-07
3206,0,6,0.005897289142012596,0.015541551634669304,3.448033332824707,3.448033571243286,5.322703371536241e-15,9.50035655478132e-07,9.50035655478132e-07
3207,0,6,0.003931758925318718,0.015804940834641457,2.8153908252716064,2.8153908252716064,5.499299153126922e-15,1.1826608670162386e-06,1.1826608670162386e-06
3208,0,6,0.004787774290889502,0.017456382513046265,3.1067914962768555,3.1067912578582764,5.571566733637238e-15,1.078752575267572e-06,1.078752575267572e-06
3209,0,6,0.005413101054728031,0.018486881628632545,3.3034543991088867,3.3034543991088867,4.708573144557825e-15,9.326562349087908e-07,9.326562349087908e-07
3210,0,6,0.004596908111125231,0.01667426899075508,3.0442349910736084,3.0442349910736084,4.216062872761496e-15,9.576804131938843e-07,9.576804131938843e-07
3211,0,6,0.004944699350744486,0.015579717233777046,3.1572952270507812,3.1572954654693604,4.31178437206481e-15,9.338100994682463e-07,9.338100994682463e-07
3212,0,6,0.005090688355267048,0.016239387914538383,3.2035646438598633,3.2035646438598633,4.421447186646983e-15,9.31952911287226e-07,9.31952911287226e-07
3213,0,6,0.004940877668559551,0.015578432939946651,3.1560747623443604,3.1560750007629395,4.641960779519852e-15,9.692787443782436e-07,9.692787443782436e-07
3214,0,6,0.0043250941671431065,0.014254133217036724,2.9528610706329346,2.9528610706329346,4.355971116307752e-15,1.0035631703431136e-06,1.0035631703431136e-06
3215,0,6,0.0041366033256053925,0.013733885250985622,2.887800455093384,2.887800693511963,4.314355540576201e-15,1.0212593224423472e-06,1.0212593224423472e-06
3216,0,6,0.003957697190344334,0.012932325713336468,2.824662446975708,2.824662446975708,4.3204486720822746e-15,1.0448239891047706e-06,1.0448239891047706e-06
3217,0,6,0.004165468737483025,0.012854041531682014,2.8978586196899414,2.8978586196899414,4.7422842088255986e-15,1.0669937182683498e-06,1.0669937182683498e-06
