layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer0,5738,6,2,0.18650618195533752,1.1043990466188816,-0.00702097322534256,0.5166193573103872
layer0,5739,6,2,0.18271178007125854,1.1441926965631515,-0.2602506752863908,0.44430270438649483
layer1,515,0,0,0.08810197561979294,-0.35665302059133064,-0.26230946722445436,-0.2048667788806894
layer1,614,0,0,0.09313692897558212,-0.24589187753595643,0.15393451269576794,-0.2151715362826379
layer1,732,0,0,0.05591462925076485,-0.3388738643128883,-0.29992191637894583,-0.4047598463977807
layer1,818,0,0,0.08699125796556473,-0.17776886800941177,0.20307317791997911,-0.3972977392974656
layer1,974,0,0,0.07443465292453766,0.012065413805887383,0.1836593415924144,-0.4481952119633023
layer1,1283,0,0,0.0852089375257492,0.1452993467432251,-0.6004211062264789,-0.5350597026147846
layer1,1299,0,0,0.08592375367879868,0.3851755289982519,0.5933718390550659,-0.18887590906494262
layer1,1514,0,0,0.09030637890100479,0.20226945456562775,0.4458335799943168,-0.5313082680846962
layer1,1629,0,0,0.07725700736045837,0.14441937898167262,-0.824325673284895,0.28859825833722963
layer1,1630,0,0,0.061657700687646866,0.12938304758137437,-0.8027560052679662,-0.1736690055060323
layer1,1667,0,0,0.07794439792633057,0.26012118870418693,-0.6690778069409512,-0.5266874482770297
layer1,3022,0,0,0.08445589989423752,-1.028346601755843,-0.6862396420163851,1.0094687011502381
layer1,3132,0,0,0.0741678923368454,-1.447865421082161,-0.9744849932566556,-0.037795905031904706
layer1,3237,0,0,0.058089807629585266,-1.4147697428409651,-0.16593016181858009,0.9098163065122036
layer1,3240,0,0,0.05561278015375137,-1.4385565355400323,-0.7818252199775436,-0.062383482683976386
layer1,3269,0,0,0.09461358934640884,-1.1340567563235218,0.867180944213198,-0.24084999111358063
layer1,3515,0,0,0.06243618577718735,-0.8367759139190754,-0.34787794100960934,-0.2961526548035715
layer1,3599,0,0,0.07831751555204391,-0.4184317471956891,-0.3287193466235718,-0.4166818169133751
layer1,4716,0,0,0.08979746699333191,-0.7783222500611161,0.27687519354015566,-0.6539546462888899
layer1,4776,0,0,0.08740780502557755,-0.7778527291255096,0.28894128383658224,-0.5063584781130709
layer1,5253,0,0,0.07152901589870453,0.5882863909614007,-0.723805631924617,-0.23912777749859293
layer1,5256,0,0,0.07499679923057556,0.656271668722843,0.18011774486233822,-0.5881165756782596
layer1,5422,0,0,0.08284489810466766,0.8235359580886166,-0.5413941881099783,-0.539917369524342
layer1,5759,0,0,0.05523794889450073,1.0124696016080577,-0.3224660290368732,-0.6227313647740488
layer1,485,0,1,0.10887666046619415,-0.19202076133258947,0.27869929456361925,0.20368994386269956
layer1,775,0,1,0.1297258734703064,-0.2312509778761491,-0.03684483979791349,0.5157673807132056
layer1,1227,0,1,0.12399803102016449,0.2965062073067985,0.6207128538450586,-0.19487425676256198
layer1,1235,0,1,0.10250509530305862,0.08843823927055194,-0.5853434069474235,-0.5361651785480372
layer1,1417,0,1,0.11559368669986725,0.21408942766603825,0.11669323992807717,-0.7639024926164811
layer1,1720,0,1,0.09886251389980316,0.48719766732712033,0.6882295346197399,0.021866437568927005
layer1,1893,0,1,0.10740203410387039,0.1830561348113288,-0.6383920628378209,0.2826795839539158
layer1,2018,0,1,0.11050130426883698,0.44453033582029755,0.22966669463526718,-0.4530627288778495
layer1,2118,0,1,0.12367060035467148,0.685217472294958,0.3391848190625079,0.4052382293373333
layer1,2319,0,1,0.10915116220712662,0.8155705736042064,0.40977474203234654,-0.373223437261095
layer1,2355,0,1,0.12068819999694824,0.8143864209306727,0.39313927746296357,-0.37177084984427855
layer1,2364,0,1,0.11271567642688751,0.5711298887852134,-0.5503532260142058,-0.4391141754100034
layer1,2528,0,1,0.12592288851737976,0.747223279335383,-0.06608506915485143,0.5631461746680282
layer1,2553,0,1,0.12361574172973633,0.6138465635506675,-0.47550334159047847,0.508699960000468
layer1,2671,0,1,0.12466714531183243,0.533107114078109,0.7380436496802175,0.5121353554340565
layer1,2683,0,1,0.10115911811590195,0.48490324776992383,0.7014836294991419,0.537876193883495
layer1,3604,0,1,0.11366451531648636,-0.21381048092449212,0.5301814195918906,0.22333016590074758
layer1,3626,0,1,0.10852929949760437,-0.2701802012931972,0.39977448455070536,-0.2363010774122628
layer1,5103,0,1,0.13337883353233337,0.30837340782678313,0.6060411743782923,0.2085440059486188
layer1,5132,0,1,0.09770754724740982,0.18483142447705903,-0.6758730730134714,0.15658957250104089
layer1,5282,0,1,0.12101559340953827,0.9269033836343388,0.48979867566431734,-0.033306233823789846
