window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4518,0,6,248.89938354492188,3.4730353355407715,28.773183822631836,708.3651123046875,2.2123304577181813e-10,6.974717052798951e-07,9.427859026800434e-07
4519,0,6,291.1550598144531,2.6195120811462402,29.02959442138672,766.1387329101562,2.200919724248962e-10,6.900091307215916e-07,8.694407256371051e-07
4520,0,6,300.2930603027344,2.0300018787384033,27.72342300415039,778.068603515625,2.0613376283673546e-10,7.013234721853223e-07,8.285179546874133e-07
4521,0,6,371.4270935058594,2.8323581218719482,26.881105422973633,865.33056640625,2.1602432342948674e-10,7.336734029195213e-07,7.626311457897827e-07
4522,0,6,272.2353210449219,1.8839877843856812,25.888240814208984,740.8281860351562,2.747307104034036e-10,7.38414030365675e-07,1.0045727094620815e-06
4523,0,6,358.4827575683594,1.8844733238220215,27.24066734313965,850.1182861328125,9.5213248396675e-10,7.472042398148915e-07,1.6297259435305023e-06
4524,0,6,355.3949890136719,2.049217700958252,27.735862731933594,846.44921875,1.0051930399157527e-09,7.50433116536442e-07,1.6817795085444232e-06
4525,0,6,309.21697998046875,2.652341365814209,27.183469772338867,789.5450439453125,2.1491085300251456e-10,7.250708904393832e-07,8.336764381056128e-07
4526,0,6,250.2081298828125,1.8378790616989136,27.08654022216797,710.2250366210938,1.8841490867504973e-10,7.461076165782288e-07,8.677745881868759e-07
4527,0,6,394.1288146972656,3.468649387359619,26.66042709350586,891.3829956054688,2.2073168293168521e-10,7.392017664642481e-07,7.483645845240972e-07
4528,0,6,267.66888427734375,1.85032057762146,26.573694229125977,734.5886840820312,1.9667646677934414e-10,7.705482971687161e-07,8.571902867515746e-07
4529,0,6,188.7471466064453,1.4995970726013184,28.921573638916016,616.8583984375,2.2964100065969717e-10,7.160553536778025e-07,1.1030227824448957e-06
4530,0,6,195.41683959960938,2.2048776149749756,28.60633659362793,627.66259765625,2.119606296036025e-10,6.949034627723449e-07,1.0414696589577943e-06
4531,0,6,319.3846435546875,2.5821340084075928,28.379323959350586,802.4208984375,2.2341281602500374e-10,6.966736805225082e-07,8.363672350242268e-07
4532,0,6,285.5268249511719,1.7266507148742676,27.857017517089844,758.6976318359375,2.2431219381946477e-10,6.842088282610348e-07,8.863453331287019e-07
4533,0,6,364.2114562988281,2.5966548919677734,28.06844139099121,856.884033203125,2.8010227470787186e-10,7.452136969732237e-07,8.769634973759821e-07
4534,0,6,330.17010498046875,1.781846284866333,28.867795944213867,815.8571166992188,2.40329589562549e-10,7.18956698619877e-07,8.53168387493497e-07
4535,0,6,494.5230407714844,2.169926881790161,26.968795776367188,998.47802734375,2.7438223915154936e-10,7.521915108554822e-07,7.448772976204054e-07
4536,0,6,465.00341796875,2.1009585857391357,26.095216751098633,968.2183837890625,2.419774658424245e-10,8.139145393215586e-07,7.213721460175293e-07
4537,0,6,398.7645263671875,2.683253526687622,24.518150329589844,896.60986328125,2.434104029447326e-10,8.619030040790676e-07,7.812882927282772e-07
4538,0,6,344.0393371582031,2.468059778213501,23.661096572875977,832.81640625,2.1011570261464385e-10,8.963083928392734e-07,7.814932132532704e-07
4539,0,6,450.5516662597656,3.3071720600128174,23.5795955657959,953.0540161132812,2.3085976186276724e-10,8.759154184190265e-07,7.15816668162006e-07
4540,0,6,386.0069580078125,3.323544502258301,23.555498123168945,882.1507568359375,2.2670856858475474e-10,8.714634418538481e-07,7.663662699997076e-07
4541,0,6,413.2266540527344,5.072388648986816,24.205581665039062,912.723876953125,2.140533583716575e-10,8.861865694598237e-07,7.197254490165506e-07
4542,0,6,262.1148986816406,4.9033203125,22.825828552246094,726.9275512695312,1.9327663081103452e-10,8.993181381811155e-07,8.587045954300265e-07
4543,0,6,280.01690673828125,3.7954392433166504,22.611173629760742,751.3414916992188,2.3096477508310898e-10,9.331678825219569e-07,9.081984444492264e-07
4544,0,6,498.7578430175781,5.768610954284668,23.142559051513672,1002.7440795898438,2.4481117133490216e-10,8.723777114028053e-07,7.006009923316014e-07
4545,0,6,776.9710083007812,8.69150161743164,24.7051944732666,1251.5484619140625,4.84462137073649e-10,8.233329822360247e-07,7.896369993432018e-07
4546,0,6,471.64691162109375,4.191554546356201,25.69038963317871,975.1102905273438,9.815253054767936e-10,8.114658385238727e-07,1.442587745259516e-06
4547,0,6,490.3072204589844,3.321333885192871,26.43132209777832,994.2129516601562,2.8354804615382534e-10,7.881023975642165e-07,7.604648430969974e-07
4548,0,6,635.1275024414062,6.841749668121338,26.88443374633789,1131.55517578125,4.6370990380850685e-10,8.182872193174262e-07,8.544619163330935e-07
4549,0,6,762.4130859375,5.420146942138672,27.96707534790039,1239.76806640625,4.482046400688944e-10,7.674492508158437e-07,7.667309205316997e-07
4550,0,6,498.53741455078125,3.171483278274536,27.96683120727539,1002.5225219726562,2.2715829217645478e-10,7.548294433945557e-07,6.75018100082525e-07
4551,0,6,491.8279724121094,2.9828038215637207,27.148252487182617,995.7536010742188,2.505856078194313e-10,7.661597578589863e-07,7.137916213650897e-07
4552,0,6,787.6844482421875,4.007472991943359,27.53479766845703,1260.1474609375,4.612775439394312e-10,7.545218636550999e-07,7.652529916413187e-07
4553,0,6,1092.3739013671875,4.6582231521606445,27.101959228515625,1483.9898681640625,4.47882175791392e-10,7.498213676626619e-07,6.403187171599711e-07
